SKU,Nazwa produktu,Kategoria,Platforma,Cena zakupu (zl),Cena sprzedazy (zl),Sprzedane szt (miesiac),Wydatki Ads (zl),Liczba zwrotow
ZB-001,Klocki konstrukcyjne 500 el.,Klocki,Allegro,42.00,89.99,64,180.00,3
ZB-002,Klocki konstrukcyjne 1000 el.,Klocki,Allegro,68.00,149.99,31,95.00,1
ZB-003,Klocki magnetyczne zestaw 40 el.,Klocki,Empik,55.00,119.00,18,20.00,0
ZB-004,Lalka interaktywna mowiaca,Lalki,Allegro,38.00,79.99,42,220.00,6
ZB-005,Zestaw lalek 3 szt. mini,Lalki,Allegro,22.00,44.99,58,140.00,2
ZB-006,Domek dla lalek drewniany,Lalki,Empik,95.00,189.00,9,15.00,1
ZB-007,Samochodzik zdalnie sterowany,Pojazdy,Allegro,48.00,99.99,37,310.00,5
ZB-008,Tor wyscigowy dla aut,Pojazdy,Allegro,65.00,139.99,21,175.00,2
ZB-009,Zestaw autek metalowych 6 szt.,Pojazdy,Erli,19.00,39.99,73,10.00,1
ZB-010,Ciezarowka zabawkowa XXL,Pojazdy,Allegro,52.00,109.99,15,240.00,3
ZB-011,Gra planszowa rodzinna,Gry planszowe,Allegro,24.00,54.99,89,120.00,1
ZB-012,Gra planszowa strategiczna,Gry planszowe,Allegro,35.00,79.99,26,160.00,2
ZB-013,Puzzle 1000 elementow,Gry planszowe,Empik,18.00,39.99,47,12.00,0
ZB-014,Gra karciana dla dzieci,Gry planszowe,Allegro,12.00,29.99,112,95.00,2
ZB-015,Pluszowy miś 40cm,Pluszaki,Allegro,15.00,34.99,95,80.00,1
ZB-016,Pluszak swiecacy w ciemnosci,Pluszaki,Allegro,20.00,49.99,68,210.00,4
ZB-017,Zestaw pluszakow 3 szt. mini,Pluszaki,Erli,14.00,32.99,54,8.00,1
ZB-018,Kredki i farby zestaw kreatywny,Edukacyjne,Allegro,16.00,36.99,71,60.00,0
ZB-019,Mikroskop dla dzieci,Edukacyjne,Allegro,45.00,99.99,19,190.00,3
ZB-020,Zestaw eksperymentow naukowych,Edukacyjne,Allegro,38.00,84.99,33,145.00,2
ZB-021,Tablet edukacyjny do nauki liter,Edukacyjne,Amazon,58.00,124.99,22,35.00,2
ZB-022,Robot edukacyjny programowalny,Edukacyjne,Allegro,89.00,189.99,14,280.00,3
ZB-023,Basen ogrodowy dmuchany,Sezonowe,Allegro,32.00,69.99,8,45.00,0
ZB-024,Zjezdzalnia ogrodowa,Sezonowe,Allegro,78.00,159.99,6,90.00,1
ZB-025,Zestaw do piaskownicy,Sezonowe,Erli,9.00,22.99,41,6.00,0
ZB-026,Hulajnoga dla dzieci 3-kolowa,Sezonowe,Allegro,62.00,129.99,17,220.00,3
ZB-027,Rower biegowy drewniany,Sezonowe,Allegro,85.00,169.99,11,165.00,1
ZB-028,Strzelba na piankowe kulki,Zabawki aktywne,Allegro,18.00,39.99,66,130.00,4
ZB-029,Zestaw do koszykowki dzieciecej,Zabawki aktywne,Allegro,29.00,64.99,24,110.00,2
ZB-030,Trampolina ogrodowa mala,Zabawki aktywne,Amazon,145.00,289.00,5,40.00,1
ZB-031,Kije do nordic walking dla dzieci,Zabawki aktywne,Allegro,22.00,49.99,7,85.00,0
ZB-032,Figurki kolekcjonerskie dinozaury,Figurki,Allegro,8.00,19.99,134,70.00,1
ZB-033,Zestaw figurek superbohaterow,Figurki,Allegro,25.00,54.99,48,150.00,3
ZB-034,Figurka kolekcjonerska limitowana,Figurki,Amazon,35.00,74.99,12,25.00,0
ZB-035,Zestaw klockow duplo niemowlece,Klocki,Allegro,28.00,59.99,52,100.00,1
ZB-036,Kołyska dla lalki drewniana,Lalki,Allegro,44.00,89.99,10,175.00,2
ZB-037,Wozek dla lalki spacerowy,Lalki,Erli,39.00,84.99,16,9.00,1
ZB-038,Gra zrecznosciowa Jenga,Gry planszowe,Allegro,10.00,24.99,97,55.00,0
ZB-039,Zestaw kredek 100 kolorow,Edukacyjne,Allegro,13.00,28.99,88,40.00,0
ZB-040,Maskotka interaktywna reagujaca na dotyk,Pluszaki,Allegro,33.00,74.99,29,260.00,5
